FROM;TO
lopezobrador_;alferdez
CarlosAlvQ;alferdez
JuanOrlandoH;alferdez
MaritoAbdo;alferdez
MartinVizcarraC;alferdez
DiazCanelB;alferdez
CarlosAlvQ;DrGiammattei
jguaido;DrGiammattei
JuanOrlandoH;DrGiammattei
NitoCortizo;DrGiammattei
alferdez;lopezobrador_
CarlosAlvQ;lopezobrador_
JuanOrlandoH;lopezobrador_
NitoCortizo;lopezobrador_
MaritoAbdo;lopezobrador_
MartinVizcarraC;lopezobrador_
DiazCanelB;lopezobrador_
DrGiammattei;CarlosAlvQ
lopezobrador_;CarlosAlvQ
jguaido;CarlosAlvQ
JuanOrlandoH;CarlosAlvQ
NitoCortizo;CarlosAlvQ
Lenin;CarlosAlvQ
MaritoAbdo;CarlosAlvQ
CarlosAlvQ;DaniloMedina
jguaido;DaniloMedina
JuanOrlandoH;DaniloMedina
NitoCortizo;DaniloMedina
DrGiammattei;IvanDuque
CarlosAlvQ;IvanDuque
jairbolsonaro;IvanDuque
JeanineAnez;IvanDuque
jguaido;IvanDuque
JuanOrlandoH;IvanDuque
NitoCortizo;IvanDuque
MaritoAbdo;IvanDuque
MartinVizcarraC;IvanDuque
sebastianpinera;IvanDuque
LuisLacallePou;IvanDuque
IvanDuque;jairbolsonaro
jguaido;jairbolsonaro
JuanOrlandoH;jairbolsonaro
NitoCortizo;jairbolsonaro
MaritoAbdo;jairbolsonaro
MartinVizcarraC;jairbolsonaro
jguaido;JeanineAnez
moisejovenel;moisejovenel
DrGiammattei;jguaido
CarlosAlvQ;jguaido
IvanDuque;jguaido
jairbolsonaro;jguaido
JeanineAnez;jguaido
JuanOrlandoH;jguaido
MaritoAbdo;jguaido
MartinVizcarraC;jguaido
LuisLacallePou;jguaido
DrGiammattei;JuanOrlandoH
lopezobrador_;JuanOrlandoH
CarlosAlvQ;JuanOrlandoH
jguaido;JuanOrlandoH
NitoCortizo;JuanOrlandoH
MaritoAbdo;JuanOrlandoH
DrGiammattei;NitoCortizo
lopezobrador_;NitoCortizo
CarlosAlvQ;NitoCortizo
IvanDuque;NitoCortizo
jguaido;NitoCortizo
JuanOrlandoH;NitoCortizo
Lenin;NitoCortizo
MartinVizcarraC;NitoCortizo
CarlosAlvQ;Lenin
jairbolsonaro;Lenin
jguaido;Lenin
JuanOrlandoH;Lenin
NitoCortizo;Lenin
MaritoAbdo;Lenin
sebastianpinera;Lenin
alferdez;MaritoAbdo
CarlosAlvQ;MaritoAbdo
IvanDuque;MaritoAbdo
jairbolsonaro;MaritoAbdo
jguaido;MaritoAbdo
JuanOrlandoH;MaritoAbdo
NitoCortizo;MaritoAbdo
MartinVizcarraC;MaritoAbdo
LuisLacallePou;MaritoAbdo
alferdez;MartinVizcarraC
CarlosAlvQ;MartinVizcarraC
IvanDuque;MartinVizcarraC
jairbolsonaro;MartinVizcarraC
jguaido;MartinVizcarraC
NitoCortizo;MartinVizcarraC
MaritoAbdo;MartinVizcarraC
sebastianpinera;MartinVizcarraC
LuisLacallePou;MartinVizcarraC
lopezobrador_;DiazCanelB
NicolasMaduro;DiazCanelB
alferdez;nayibbukele
DrGiammattei;nayibbukele
CarlosAlvQ;nayibbukele
jguaido;nayibbukele
NitoCortizo;nayibbukele
LuisLacallePou;nayibbukele
DiazCanelB;NicolasMaduro
CarlosAlvQ;sebastianpinera
IvanDuque;sebastianpinera
jairbolsonaro;sebastianpinera
jguaido;sebastianpinera
JuanOrlandoH;sebastianpinera
NitoCortizo;sebastianpinera
Lenin;sebastianpinera
MaritoAbdo;sebastianpinera
MartinVizcarraC;sebastianpinera
mauriciomacri;sebastianpinera
LuisLacallePou;sebastianpinera
CarlosAlvQ;LuisLacallePou
jguaido;LuisLacallePou
JuanOrlandoH;LuisLacallePou
NitoCortizo;LuisLacallePou
MaritoAbdo;LuisLacallePou
MartinVizcarraC;LuisLacallePou
alferdez;mauriciomacri
IvanDuque;mauriciomacri
jairbolsonaro;mauriciomacri
JeanineAnez;mauriciomacri
jguaido;mauriciomacri
JuanOrlandoH;mauriciomacri
NitoCortizo;mauriciomacri
MaritoAbdo;mauriciomacri
sebastianpinera;mauriciomacri
LuisLacallePou;mauriciomacri
evoespueblo;evoespueblo
