name;country;sex;Followers;Following
alferdez;Argentina;1;880306;7323
DrGiammattei;Guatemala;1;88350;64
lopezobrador_;Mexico;1;6494659;249
CarlosAlvQ;Costa Rica;1;119771;614
DaniloMedina;Dominicana;1;704114;7557
IvanDuque;Colombia;1;1154118;2267
jairbolsonaro;Brasil;1;5931697;395
JeanineAnez;Bolivia;0;258597;481
moisejovenel;Haiti;1;280257;4
jguaido;Venezuela;1;2386498;2707
JuanOrlandoH;Honduras;1;397331;849
NitoCortizo;Panama;1;200884;5545
Lenin;Ecuador;1;837096;42
MaritoAbdo;Paraguay;1;356501;619
MartinVizcarraC;Perú;1;698404;507
DiazCanelB;Cuba;1;255422;151
nayibbukele;El Salvador;1;1303988;553
NicolasMaduro;Venezuela;1;3735170;97
sebastianpinera;Chile;1;2395279;20243
LuisLacallePou;Uruguay;1;208832;1685
mauriciomacri;Argentina;1;5058709;643
evoespueblo;Bolivia;1;1001975;30
